id,location,depth,mag,energy,place,date,time
us7000bkqs,us,10,2.2,1.00E+14,"34 km NW of Stanley, Idaho",9/9/2020,2:34 PM
us7000bkr0,us,212.35,4.2,1.00E+16,"118 km NNW of San Antonio de los Cobres, Argentina",9/9/2020,9:47 PM
us7000bks0,us,90.49,4.4,1.58E+16,"52 km ENE of Severo-Kurilâ€™sk, Russia",9/9/2020,10:11 PM
us7000bks4,us,315.24,5.2,1.00E+17,"167 km S of Mata-Utu, Wallis and Futuna",9/9/2020,10:55 PM
us7000bkt8,us,168.93,4.2,1.00E+16,"20 km ESE of San Jorge, Nicaragua",9/10/2020,12:03 AM
us7000bktm,us,67.05,4.3,1.26E+16,"22 km SSW of Pampachiri, Peru",9/10/2020,12:36 AM
us7000bktu,us,81.92,4.1,7.94E+15,"57 km N of KhandÅ«d, Afghanistan",9/10/2020,1:07 AM
us7000bkv3,us,5,3.1,7.94E+14,"57 km S of Whites City, New Mexico",9/10/2020,3:29 AM
us7000bkvk,us,44.92,4.5,2.00E+16,"94 km N of Lospalos, Timor Leste",9/10/2020,3:58 AM
us7000bky6,us,98.25,5,6.31E+16,"112 km SSE of Pundong, Indonesia",9/10/2020,8:26 AM
us7000bkze,us,10,4.3,1.26E+16,"85 km S of PÃ½rgos, Greece",9/10/2020,10:30 AM
us7000bl22,us,185.89,4.4,1.58E+16,"4 km ENE of Rizo de Oro, Mexico",9/10/2020,12:47 PM
us7000bl6l,us,10,4.4,1.58E+16,"195 km SSE of Attu Station, Alaska",9/6/2020,9:12 PM
us7000bl6p,us,10,4.1,7.94E+15,western Xizang,9/6/2020,9:45 PM
us7000bl6r,us,180.02,4.3,1.26E+16,"82 km E of Lakatoro, Vanuatu",9/6/2020,10:41 PM
us7000bl6t,us,564.97,4.4,1.58E+16,"245 km E of Levuka, Fiji",9/6/2020,11:59 PM
